country,big_mac_in_usd
Argentina,2.57075702674
Australia,4.81404568624
Austria,4.56442709035
Belgium,4.98182307796
Brazil,5.85506463091
United Kingdom,4.92501704158
Canada,5.25090773671
Chile,3.7224802354
China,2.72655405514
Colombia,4.65456119936
Costa Rica,4.00148892611
Czech Republic,3.45551484473
Denmark,5.14551888496
Egypt,2.36779905176
Estonia,3.90467214218
Finland,5.52039854585
France,5.2511108119
Germany,4.94142991787
Greece,4.10663794264
Hong Kong,2.42564995807
Hungary,3.76687098292
India,1.74741382754
Indonesia,2.42842242503
Ireland,4.69907095732
Israel,5.1262522702
Italy,5.18378887842
Japan,3.64424308086
Lithuania,3.48982297434
Malaysia,2.40883977901
Mexico,3.24760682307
Netherlands,4.64521341053
New Zealand,4.94491194587
Norway,7.7578265156
Pakistan,3.0401297122
Peru,3.58680057389
Philippines,3.7032750839
Poland,2.99537670118
Portugal,4.03931600916
Russia,2.5547330017
Saudi Arabia,2.93302047782
Singapore,3.79644588045
South Africa,2.33011555471
South Korea,4.00488400488
Spain,4.91450114447
Sri Lanka,2.68703696595
Sweden,5.95377413692
Switzerland,6.82624113475
Taiwan,2.6349142819
Thailand,3.11516677155
Turkey,4.42308611868
UAE,3.53924477961
Ukraine,1.62601626016
United States,4.8
Uruguay,4.91946016543
Venezuela,6.81818181818
Vietnam,2.82618935469
